Halaman Terdeface,Attacker,Tebas Index,Kejadian,Arsip
"meacenter.kkp.go.id/salim.txt
							",BD GREY HAT HACKERS,T,2019/01/10,www.zone-h.org/mirror/id/32128196
"doluong.gov.vn/p00f.php
							",jok3r,T,2019/01/10,www.zone-h.org/mirror/id/32128164
"dishut.kaltimprov.go.id
							",W3LL SQUAD,Y,2019/01/10,www.zone-h.org/mirror/id/32127988
"wangchaohosp.go.th/ngeod.php
							",MR.5T1Y0,T,2019/01/09,www.zone-h.org/mirror/id/32127105
"www.thadthong.go.th
							",MR.5T1Y0,Y,2019/01/09,www.zone-h.org/mirror/id/32126928
"www.nonpuoy.go.th
							",MR.5T1Y0,Y,2019/01/09,www.zone-h.org/mirror/id/32126923
"www.3yaek.go.th
							",MR.5T1Y0,Y,2019/01/09,www.zone-h.org/mirror/id/32126922
"www.nongwang101.go.th
							",MR.5T1Y0,Y,2019/01/09,www.zone-h.org/mirror/id/32126920
"www.banshong.go.th
							",MR.5T1Y0,Y,2019/01/09,www.zone-h.org/mirror/id/32126919
"ntsentencing.nt.gov.au/ph.hita...
							",PH.HITACHI,T,2019/01/09,www.zone-h.org/mirror/id/32125529
"www.laor.go.th
							",MR.5T1Y0,Y,2019/01/09,www.zone-h.org/mirror/id/32126910
"probation.sg.gov.lk
							",PYS404,Y,2019/01/09,www.zone-h.org/mirror/id/32125114
"kpt.tapteng.go.id/images/page/...
							",MR.5T1Y0,T,2019/01/09,www.zone-h.org/mirror/id/32125006
"simpeg.humbanghasundutankab.go...
							",MR.5T1Y0,T,2019/01/09,www.zone-h.org/mirror/id/32121366
"smsgateway.lomboktimurkab.go.id
							",3k1w_500,Y,2019/01/09,www.zone-h.org/mirror/id/32124448
"www.nasoke.go.th
							",MR.5T1Y0,Y,2019/01/09,www.zone-h.org/mirror/id/32126905
"wukirsari.bantulkab.go.id//rea...
							",./Sn00py,T,2019/01/09,www.zone-h.org/mirror/id/32126822
"wonolelo.bantulkab.go.id//read...
							",./Sn00py,T,2019/01/09,www.zone-h.org/mirror/id/32126821
"wonokromo.bantulkab.go.id/read...
							",./Sn00py,T,2019/01/09,www.zone-h.org/mirror/id/32126820
"wirokerten.bantulkab.go.id//re...
							",./Sn00py,T,2019/01/09,www.zone-h.org/mirror/id/32126819
"wijirejo.bantulkab.go.id/readm...
							",./Sn00py,T,2019/01/09,www.zone-h.org/mirror/id/32126818
"triwidadi.bantulkab.go.id/read...
							",./Sn00py,T,2019/01/09,www.zone-h.org/mirror/id/32126817
"trirenggo.bantulkab.go.id//rea...
							",./Sn00py,T,2019/01/09,www.zone-h.org/mirror/id/32126816
"trimulyo.bantulkab.go.id//read...
							",./Sn00py,T,2019/01/09,www.zone-h.org/mirror/id/32126815
"triharjo.bantulkab.go.id//read...
							",./Sn00py,T,2019/01/09,www.zone-h.org/mirror/id/32126814
